Date,Time,Species,Count
5/28/15,20:29:42,Herring,1
5/28/15,20:42:36,Herring,2
5/28/15,21:9:15,Herring,1
5/28/15,22:43:37,Herring,1
5/28/15,22:43:59,Herring,1
5/29/15,0:24:59,Herring,1
5/29/15,0:32:31,Herring,1
5/29/15,0:36:1,Herring,1
5/29/15,0:37:29,Herring,1
5/29/15,1:38:32,Herring,1
5/29/15,2:4:2,Herring,1
5/29/15,2:7:59,Herring,1
5/29/15,18:10:49,Herring,1
5/29/15,19:45:52,Herring,1
5/29/15,20:30:23,Herring,1
5/29/15,21:43:17,Herring,1
5/30/15,2:29:14,Herring,1
5/30/15,4:22:58,Herring,1
5/30/15,18:4:29,Herring,1
5/30/15,21:5:4,Herring,1
5/30/15,21:32:13,Herring,1
5/30/15,21:41:57,Herring,1
5/30/15,23:39:49,Herring,2
5/31/15,2:4:40,Herring,1
5/31/15,2:19:50,Herring,1
5/31/15,3:37:43,Herring,1
5/31/15,18:45:47,Herring,1
5/31/15,20:30:43,Herring,1
5/31/15,21:7:25,Herring,1
6/1/15,1:5:22,Herring,1
6/1/15,3:43:41,Herring,1
6/1/15,4:55:2,Herring,1
6/1/15,20:58:41,Herring,1
6/2/15,0:45:32,Herring,1
6/2/15,19:43:59,Herring,1
6/5/15,4:9:43,Herring,1
6/5/15,5:39:14,Herring,1
6/5/15,22:50:37,Herring,1
6/7/15,3:46:22,Herring,1
6/7/15,20:54:25,Herring,1
6/7/15,21:3:31,Herring,1
6/7/15,22:42:28,Herring,1
6/8/15,13:9:39,Herring,1
6/8/15,20:26:15,Herring,1
6/8/15,20:56:45,Herring,2
6/9/15,0:16:55,Herring,1
6/9/15,2:26:5,Herring,1
6/9/15,20:32:37,Herring,1
6/9/15,20:40:58,Herring,1
6/9/15,22:13:32,Herring,1
6/10/15,0:14:51,Herring,1
6/10/15,17:30:35,Herring,1
6/10/15,18:45:48,Herring,1
6/10/15,20:42:56,Herring,1
6/10/15,21:0:2,Herring,1
6/10/15,21:1:57,Herring,1
6/10/15,22:26:15,Herring,1
6/10/15,22:31:51,Herring,1
6/10/15,23:18:14,Herring,1
6/11/15,2:21:9,Herring,1
6/11/15,2:43:29,Herring,1
6/11/15,4:10:43,Herring,1
